Data,Receitas,Despesas,Média Despesas 12 meses,Investimento Itaú,Conta Itaú,Caixa,Oxigênio Meses
31/01/2025,"R$ 531.406,04","R$ 199.312,40","R$ 199.312,40","R$ 221.803,55","R$ 28.752,16","R$ 250.555,71","1,26"
28/02/2025,"R$ 237.728,32","R$ 203.255,06","R$ 201.283,73","R$ 158.377,94","R$ 85.568,44","R$ 243.946,38","1,21"
31/03/2025,"R$ 215.418,93","R$ 285.756,90","R$ 229.441,45","R$ 104.398,07","R$ 95.213,50","R$ 199.611,57","0,87"
30/04/2025,,,"R$ 229.441,45",,,,"0,00"
31/05/2025,,,"R$ 229.441,45",,,,"0,00"
30/06/2025,,,"R$ 229.441,45",,,,"0,00"
31/07/2025,,,"R$ 229.441,45",,,,"0,00"
31/08/2025,,,"R$ 229.441,45",,,,"0,00"
30/09/2025,,,"R$ 229.441,45",,,,"0,00"
31/10/2025,,,"R$ 229.441,45",,,,"0,00"
30/11/2025,,,"R$ 229.441,45",,,,"0,00"
31/12/2025,,,"R$ 229.441,45",,,,"0,00"
